POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
616-14320,-,0,Grey,SS,N,N,SFMTA,ON,0,1432,POWELL ST,10693000,Area 3,,"(37.7982580000, -122.4103480985)"
616-15030,-,0,Grey,SS,N,N,SFMTA,ON,0,1503,POWELL ST,10694000,Area 3,,"(37.7985500981, -122.4105609988)"
423-01140,423-01002,14,Grey,MS,Y,N,SFMTA,ON,0,114,FULTON ST,5881000,Area 5,Civic Center,"(37.7798834031, -122.4154831152)"
423-01170,423-01001,17,Grey,MS,Y,N,SFMTA,ON,0,117,FULTON ST,5881000,Area 5,Civic Center,"(37.7796061979, -122.4154727996)"
500-08060,-,0,Yellow,SS,N,N,SFMTA,ON,0,806,JACKSON ST,7379000,Area 3,,"(37.7958290976, -122.4085446985)"
472-00100,-,0,Grey,SS,N,N,SFMTA,ON,0,10,HYDE ST,7112000,Area 5,Civic Center,"(37.7792593994, -122.4149404985)"
472-00350,-,0,Grey,SS,N,N,SFMTA,ON,0,35,HYDE ST,7113000,Area 5,Civic Center,"(37.7801803023, -122.4152910017)"
440-05920,-,0,Yellow,SS,N,N,SFMTA,ON,0,592,GEARY ST,6113000,Area 2,,"(37.7868349020, -122.4128483978)"
324-06180,-,0,Grey,SS,N,N,SFMTA,ON,0,618,BATTERY ST,2761000,Area 2,,"(37.7970198979, -122.4006549974)"
472-04210,-,0,Red,SS,Y,N,SFMTA,ON,0,421,HYDE ST,7118000,Area 3,,"(37.7850841013, -122.4162809995)"
440-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,GEARY ST,6117000,Area 3,,"(37.7859684982, -122.4186373984)"
600-06090,-,0,Grey,SS,N,N,SFMTA,ON,0,609,PACIFIC AVE,10125000,Area 2,,"(37.7969739986, -122.4059240014)"
670-01030,-,0,Yellow,SS,N,N,SFMTA,ON,0,103,STILLMAN ST,12192000,Area 5,South Embarcadero,"(37.7816226994, -122.3964729977)"
670-01070,-,0,Yellow,SS,N,N,SFMTA,ON,0,107,STILLMAN ST,12192000,Area 5,South Embarcadero,"(37.7815539007, -122.3965601024)"
363-04060,-,0,Yellow,SS,N,N,SFMTA,ON,0,406,COLUMBUS AVE,4294000,Area 3,,"(37.7988860001, -122.4079853014)"
464-03190,-,0,Grey,SS,Y,N,SFMTA,ON,0,319,HAYES ST,6815000,Area 5,Civic Center,"(37.7769376545, -122.4220662038)"
209-03470,-,0,Grey,SS,N,N,SFMTA,ON,0,347,09TH ST,456000,Area 3,,"(37.7729644001, -122.4104644002)"
359-09060,-,0,Grey,SS,N,N,SFMTA,ON,0,906,CLAY ST,4092000,Area 3,,"(37.7940658023, -122.4081755986)"
563-05110,-,0,Yellow,SS,Y,N,SFMTA,ON,0,511,MCALLISTER ST,8895000,Area 5,Civic Center,"(37.7799601992, -122.4208500979)"
686-07190,-,0,Grey,SS,N,N,SFMTA,ON,0,719,TURK ST,12724000,Area 5,Civic Center,"(37.7817951989, -122.4214564000)"
